datetime,ensemble_01_m^3/s,ensemble_10_m^3/s,ensemble_11_m^3/s,ensemble_12_m^3/s,ensemble_13_m^3/s,ensemble_14_m^3/s,ensemble_15_m^3/s,ensemble_16_m^3/s,ensemble_17_m^3/s,ensemble_18_m^3/s,ensemble_19_m^3/s,ensemble_02_m^3/s,ensemble_20_m^3/s,ensemble_21_m^3/s,ensemble_22_m^3/s,ensemble_23_m^3/s,ensemble_24_m^3/s,ensemble_25_m^3/s,ensemble_26_m^3/s,ensemble_27_m^3/s,ensemble_28_m^3/s,ensemble_29_m^3/s,ensemble_03_m^3/s,ensemble_30_m^3/s,ensemble_31_m^3/s,ensemble_32_m^3/s,ensemble_33_m^3/s,ensemble_34_m^3/s,ensemble_35_m^3/s,ensemble_36_m^3/s,ensemble_37_m^3/s,ensemble_38_m^3/s,ensemble_39_m^3/s,ensemble_04_m^3/s,ensemble_40_m^3/s,ensemble_41_m^3/s,ensemble_42_m^3/s,ensemble_43_m^3/s,ensemble_44_m^3/s,ensemble_45_m^3/s,ensemble_46_m^3/s,ensemble_47_m^3/s,ensemble_48_m^3/s,ensemble_49_m^3/s,ensemble_05_m^3/s,ensemble_50_m^3/s,ensemble_51_m^3/s,ensemble_52_m^3/s,ensemble_06_m^3/s,ensemble_07_m^3/s,ensemble_08_m^3/s,ensemble_09_m^3/s
2023-11-02 08:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.68881,,,,
2023-11-02 09:00:00+00:00,43.05974,82.704666,38.06753,65.44883,55.200855,39.43481,51.56612,156.41905,44.526978,43.98991,44.314762,41.38499,47.03114,48.24429,116.49953,60.125946,66.777885,9.147284,92.62148,15.885324,46.01938,54.61754,50.97412,19.299097,45.046543,39.20041,67.07121,22.558084,52.82477,47.458595,39.740063,31.786034,50.64434,21.057531,48.962193,72.74342,22.269123,49.318947,46.689796,34.757114,49.93201,55.12526,42.77694,33.941822,35.165565,47.727966,49.78448,137.26419,25.34497,40.191788,40.64411,28.82404
2023-11-02 10:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.89716,,,,
2023-11-02 11:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.67297,,,,
2023-11-02 12:00:00+00:00,41.504204,74.80261,36.084785,59.385845,84.42943,37.28641,48.31866,196.94205,57.923622,41.53208,42.044224,60.540794,43.876537,44.687885,126.7032,64.259315,72.45189,8.614008,125.801765,15.619989,42.715103,75.9569,52.24247,18.858181,44.22079,37.181107,61.00142,25.44422,47.936867,46.275623,36.886642,30.78014,51.602116,20.309298,60.02436,64.34585,20.169643,49.802113,43.692715,33.251034,56.511642,60.7443,37.09915,34.49451,38.45595,57.26205,47.83122,218.96985,54.396145,37.989414,38.37794,50.510643
2023-11-02 13:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.37158,,,,
2023-11-02 14:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.29608,,,,
2023-11-02 15:00:00+00:00,39.942566,68.090355,38.56624,56.69872,124.971565,35.469746,44.52161,187.0275,84.95782,39.37107,40.81485,89.46638,41.290607,41.74469,171.74272,87.24729,71.585396,8.206603,122.32875,15.393562,45.98555,87.96131,48.21826,19.276926,41.99078,42.567192,75.3777,28.302515,43.988533,44.780033,36.38738,29.954428,53.54119,19.692436,60.30372,57.48112,18.574854,52.469105,41.171192,32.648228,75.135796,61.776318,32.594788,37.26021,77.170074,77.52546,46.090553,255.19714,89.97644,35.934925,36.402187,89.84585
2023-11-02 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.00104,,,,
2023-11-02 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.86322,,,,
2023-11-02 18:00:00+00:00,41.768032,60.92439,43.284122,57.52533,132.54895,34.075935,41.399498,165.66405,102.09283,37.469498,41.44188,95.0414,39.160595,40.10881,217.5826,107.70904,65.61288,7.926281,116.780045,15.199463,50.860817,77.25214,47.726574,23.649647,40.153263,54.41844,98.7293,26.692154,40.740448,47.020058,38.398335,30.334114,51.698814,19.219118,54.73657,59.578102,17.749544,50.609493,49.565487,37.515007,108.35587,61.847378,31.911972,42.007004,115.78787,83.44285,44.55908,231.12218,131.56639,34.256798,34.57806,136.49693
2023-11-02 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.69855,,,,
