rivid,classification,strmOrder
110161086,normal range,2
110372318,wet,2
110298846,extremely wet,2
110300158,wet,2
110183390,normal range,2
110189950,normal range,2
110193886,normal range,2
110305406,normal range,2
110306718,normal range,2
110203070,normal range,2
110230622,normal range,2
110289662,normal range,2
110374942,normal range,2
110290974,wet,2
110260798,wet,2
110292286,wet,2
110268670,wet,2
110293598,normal range,2
110309342,normal range,2
110376255,normal range,2
110011519,normal range,2
110020703,normal range,2
110332959,normal range,2
110041695,normal range,2
110342143,wet,2
110294911,wet,2
110297535,normal range,2
110300159,extremely wet,2
110301471,wet,2
110414303,wet,2
110306719,normal range,2
110310655,wet,2
110108607,normal range,2
110313279,normal range,2
110314591,normal range,2
110113855,normal range,2
110350015,normal range,2
110117791,normal range,2
110356575,normal range,2
110283103,normal range,2
110147967,wet,2
110318527,wet,2
110319839,wet,2
110180767,extremely wet,2
110322463,wet,2
110323775,wet,2
110406431,extremely wet,2
110205695,normal range,2
110407743,normal range,2
110221439,normal range,2
110327711,normal range,2
110367071,normal range,2
110330335,wet,2
110290975,normal range,2
110255551,wet,2
110266047,extremely wet,2
110369695,wet,2
110003648,wet,2
110008896,normal range,2
110014144,normal range,2
110300160,normal range,2
110302784,normal range,2
110031200,normal range,2
110284416,normal range,2
110285728,normal range,2
110048256,normal range,2
110058752,normal range,2
110308032,normal range,2
110078432,normal range,2
110309344,normal range,2
110082368,normal range,2
110313280,normal range,2
110092864,normal range,2
110103360,normal range,2
110315904,normal range,2
110119104,normal range,2
110318528,wet,2
110319840,extremely wet,2
110343456,extremely wet,2
110321152,extremely wet,2
110133536,normal range,2
110138784,normal range,2
110142720,normal range,2
110158464,normal range,2
110165024,normal range,2
110336896,normal range,2
110322464,normal range,2
110204384,normal range,2
110412992,normal range,2
110325088,normal range,2
110326400,normal range,2
110340832,wet,2
110331648,wet,2
110293600,extremely wet,2
110344768,extremely wet,2
110351328,extremely wet,2
110365760,normal range,2
110332960,normal range,2
110334272,wet,2
110335584,normal range,2
110014145,normal range,2
110020705,normal range,2
110033825,normal range,2
110040385,normal range,2
110297537,normal range,2
110049569,normal range,2
110298849,normal range,2
110057441,normal range,2
110300161,wet,2
110344769,extremely wet,2
110074497,wet,2
110302785,wet,2
110091553,wet,2
110095489,normal range,2
110099425,normal range,2
110105985,normal range,2
110329025,extremely dry,2
110356577,normal range,2
110133537,normal range,2
110137473,normal range,2
110150593,normal range,2
110304097,normal range,2
110359201,normal range,2
