month,Azuay,Bolivar,Carchi,Ca?ñar,Chimborazo,Cotopaxi,El Oro,Esmeraldas,Galapagos,Guayas,IMBABURA,Loja,Los Rios,Manabi,Morona Santiago,Napo,Orellana,Pastaza,Pichincha,Santa Elena,Santo Domingo de los Tsachilas,Sucumbios,Tungurahua,Zamora Chinchipe
10/1/2014,26.71121603,26.52417687,32.57644571,27.16145643,30.3593725,28.97725674,19.16896895,31.69133335,13.32617107,23.59057127,31.35902789,21.41201574,26.8797455,26.40643927,32.59711635,31.36941247,37.77997608,37.88578582,31.06658899,21.12958925,27.39902256,35.67051628,28.87961671,28.27078493
11/1/2014,26.82390594,25.92985446,33.35753788,27.3451396,30.98778061,29.51230975,17.85466085,31.24640579,14.74091508,22.49604695,31.79409268,20.97311439,25.56448359,25.63475449,33.55430295,32.34731641,38.35305462,38.1501117,31.726017,19.04342761,26.83795734,36.70297633,29.92247045,29.01572726
12/1/2014,26.17368581,24.87854779,32.94094288,26.62164712,30.12319627,28.19824895,17.59407168,30.79825401,14.64684296,21.91406809,30.95248599,20.30232153,23.85817416,24.72592595,32.55495479,31.6583293,37.74853999,37.48866654,30.933929,18.73997392,24.81974666,36.23737395,28.76151562,28.19574329
1/1/2015,26.3075965,27.43792244,32.77718198,27.40993992,30.08133267,29.61256044,18.70432234,33.2062592,16.53043226,24.7435625,31.5118176,20.84815964,28.45496715,28.78712724,32.06706533,31.43507459,37.5433708,37.52641533,31.53603614,21.30330949,28.71469328,35.53923209,28.74159278,27.62435945
2/1/2015,27.85234712,31.13963237,33.58777974,30.46044919,31.95265148,31.3777901,19.44611506,34.15939535,21.3193508,28.47610972,32.21039476,22.52466829,32.75473621,30.79150426,34.00032974,32.6937221,38.42464338,38.47035713,32.68461867,23.38017755,30.08485511,36.86642414,30.25437885,29.22249108
3/1/2015,29.87991142,32.30885559,33.73778618,31.58371997,32.07470299,32.25712603,23.23238341,34.93694858,20.52102056,30.39019324,32.31793753,25.83406137,34.36688997,33.07247613,34.74880271,32.91726247,38.78066409,38.90090561,33.13330206,25.45042808,31.77681946,37.21851524,30.26590082,31.18696276
4/1/2015,31.95126063,33.55581158,34.40764732,33.99048141,32.70289185,32.8999441,26.2243626,36.99472927,24.14850482,34.571332,33.84577472,29.06808619,36.37838179,36.00753765,35.06178417,32.98231215,38.97521231,39.04371564,34.02810114,30.17674712,33.11557079,37.19441508,30.35019088,32.18981371
5/1/2015,31.10528665,33.20111781,33.64828268,33.33737656,32.08272826,31.76480489,24.69022008,36.28640123,24.50493147,33.65999961,33.14106818,26.35507559,36.23983375,34.94964792,34.19874363,31.66781866,38.02578355,37.88959679,32.61908421,28.54943848,32.53338509,36.4552502,29.8565783,31.06466011
6/1/2015,30.82260709,32.09832699,32.95916822,32.43255494,31.88076408,30.97210405,23.96714874,35.01664954,21.89766679,31.29524628,31.65845465,25.35930921,35.07405191,32.96362728,34.13186711,31.78506107,38.09225018,38.17674787,31.77325537,25.59106617,30.83439687,36.45097818,30.19329766,31.09107825
7/1/2015,29.32504193,31.12598417,31.45354015,30.78256039,31.25037265,29.85106199,21.49522545,33.29967853,18.26866917,28.56926726,30.3037559,23.55877554,33.88889745,30.20445468,33.68844518,31.08243665,37.4907578,37.67703156,30.44663982,22.84386791,28.96472064,35.4373693,30.01696272,30.44445992
