datetime,streamflow_m^3/s
1980-01-19 00:00:00+00:00,3949.0886
1980-01-20 00:00:00+00:00,4424.0
1980-01-21 00:00:00+00:00,4223.1914
1980-01-22 00:00:00+00:00,3804.6846
1980-01-23 00:00:00+00:00,3536.1172
1980-01-24 00:00:00+00:00,3388.0002
1980-01-25 00:00:00+00:00,3312.0168
1980-01-26 00:00:00+00:00,3339.1682
1980-01-27 00:00:00+00:00,3291.123
1980-01-28 00:00:00+00:00,3228.528
1980-01-29 00:00:00+00:00,3206.5044
1980-01-30 00:00:00+00:00,3129.5574
1980-01-31 00:00:00+00:00,3196.1821
1980-02-01 00:00:00+00:00,3538.5605
1980-02-02 00:00:00+00:00,3995.624
1980-02-03 00:00:00+00:00,4548.721
1980-02-04 00:00:00+00:00,5119.5347
1980-02-05 00:00:00+00:00,5721.9194
1980-02-06 00:00:00+00:00,5941.3657
1980-02-07 00:00:00+00:00,5477.6904
1980-02-08 00:00:00+00:00,4643.0137
1980-02-09 00:00:00+00:00,3837.3665
1980-02-10 00:00:00+00:00,3270.799
1980-02-11 00:00:00+00:00,2922.1235
1980-02-12 00:00:00+00:00,2682.9521
1980-02-13 00:00:00+00:00,2572.982
1980-02-14 00:00:00+00:00,2623.7905
1980-02-15 00:00:00+00:00,2759.4268
1980-02-16 00:00:00+00:00,2762.3018
1980-02-17 00:00:00+00:00,2516.9517
1980-02-18 00:00:00+00:00,2165.4097
1980-02-19 00:00:00+00:00,1877.5557
1980-02-20 00:00:00+00:00,1702.7686
1980-02-21 00:00:00+00:00,1613.921
1980-02-22 00:00:00+00:00,1567.217
1980-02-23 00:00:00+00:00,1527.4197
1980-02-24 00:00:00+00:00,1476.319
1980-02-25 00:00:00+00:00,1404.7164
1980-02-26 00:00:00+00:00,1343.4913
1980-02-27 00:00:00+00:00,1325.84
1980-02-28 00:00:00+00:00,1318.4015
1980-02-29 00:00:00+00:00,1268.8916
1980-03-01 00:00:00+00:00,1195.7352
1980-03-02 00:00:00+00:00,1146.9868
1980-03-03 00:00:00+00:00,1149.587
1980-03-04 00:00:00+00:00,1205.3386
1980-03-05 00:00:00+00:00,1324.2507
1980-03-06 00:00:00+00:00,1559.2029
1980-03-07 00:00:00+00:00,1920.51
1980-03-08 00:00:00+00:00,2258.12
1980-03-09 00:00:00+00:00,2441.6143
1980-03-10 00:00:00+00:00,2650.459
1980-03-11 00:00:00+00:00,3055.6267
