datetime,ensemble_01_m^3/s,ensemble_10_m^3/s,ensemble_11_m^3/s,ensemble_12_m^3/s,ensemble_13_m^3/s,ensemble_14_m^3/s,ensemble_15_m^3/s,ensemble_16_m^3/s,ensemble_17_m^3/s,ensemble_18_m^3/s,ensemble_19_m^3/s,ensemble_02_m^3/s,ensemble_20_m^3/s,ensemble_21_m^3/s,ensemble_22_m^3/s,ensemble_23_m^3/s,ensemble_24_m^3/s,ensemble_25_m^3/s,ensemble_26_m^3/s,ensemble_27_m^3/s,ensemble_28_m^3/s,ensemble_29_m^3/s,ensemble_03_m^3/s,ensemble_30_m^3/s,ensemble_31_m^3/s,ensemble_32_m^3/s,ensemble_33_m^3/s,ensemble_34_m^3/s,ensemble_35_m^3/s,ensemble_36_m^3/s,ensemble_37_m^3/s,ensemble_38_m^3/s,ensemble_39_m^3/s,ensemble_04_m^3/s,ensemble_40_m^3/s,ensemble_41_m^3/s,ensemble_42_m^3/s,ensemble_43_m^3/s,ensemble_44_m^3/s,ensemble_45_m^3/s,ensemble_46_m^3/s,ensemble_47_m^3/s,ensemble_48_m^3/s,ensemble_49_m^3/s,ensemble_05_m^3/s,ensemble_50_m^3/s,ensemble_51_m^3/s,ensemble_52_m^3/s,ensemble_06_m^3/s,ensemble_07_m^3/s,ensemble_08_m^3/s,ensemble_09_m^3/s
2024-02-13 11:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9119574,,,,
2024-02-13 12:00:00+00:00,1.6003034,4.352551,1.5890545,4.253621,6.106829,7.978171,10.60351,1.5843308,1.4535266,1.4374356,2.757417,3.3230731,6.1283617,3.050865,2.3619869,2.520665,2.0665224,1.4968625,6.2489667,2.0840127,46.201443,3.7312033,1.9324682,2.9306626,1.4555545,2.6443133,2.2434437,2.908398,1.3587606,1.7521552,2.3706553,3.053389,7.688874,1.5033202,1.8537338,2.8650997,1.7552501,1.5215852,27.15112,1.437626,7.8796268,1.6302977,1.4417386,29.180876,51.182297,2.2222874,8.156569,3.8203013,7.4915223,1.3005178,-1.4202083,1.6190432
2024-02-13 13:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.075548,,,,
2024-02-13 14:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.393679,,,,
2024-02-13 15:00:00+00:00,1.6044301,3.7681935,1.2809985,3.9144318,5.4028773,7.7630715,8.809851,1.2857139,1.1880606,0.5176913,2.340101,4.2000065,5.719908,2.706353,2.9190109,1.3255068,2.5247512,1.149449,1.1641817,1.7164601,54.44591,3.339229,1.3827363,1.3783247,0.7622518,2.386147,1.886471,2.3970473,0.8900508,1.667016,1.9558921,3.3941488,8.643283,1.3113536,1.6790603,6.0612793,3.450474,1.5690771,34.57639,1.1644286,6.429513,1.7758986,1.2239444,30.573215,46.767162,1.5766907,16.757984,6.2005577,6.908972,1.0259591,4.755751,4.2855144
2024-02-13 16:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9970155,,,,
2024-02-13 17:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.295632,,,,
2024-02-13 18:00:00+00:00,1.6567922,2.9432354,1.0396286,3.4804864,7.5886645,5.4494495,7.0023556,1.0746062,1.0061128,1.0732696,2.2884471,1.9592323,5.070366,3.4441466,1.9496607,1.3386829,13.867457,1.3212286,6.906672,1.5105133,53.270348,3.061376,1.3489809,-0.24343835,2.0220366,1.9980968,1.6040194,2.1792595,1.0599828,3.1384022,1.8421533,3.4104285,7.9323187,1.0986956,1.5240774,6.2751327,3.5800438,1.845702,39.114876,0.95888793,9.884404,2.4854243,1.0726053,27.699886,40.14153,1.3615078,15.54827,6.6263328,6.0067725,0.8358932,9.1424675,5.6748815
2024-02-13 19:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.470546,,,,
2024-02-13 20:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.433613,,,,
